timestamp,dr7fd3,drkmbf,dr7vtr,drk7tw,drk5jp,drkezj,drkw1u,drkvcy
2018-10-09 05:00:00,28.315,30.171,2.63,5.223,17.204,2.771,1.088,1.459
2018-10-09 06:00:00,38.732,38.086,3.47,5.719,22.811,3.728,1.34,1.563
2018-10-09 07:00:00,49.57,42.503,3.511,6.759,29.545,4.762,1.97,1.581
2018-10-09 08:00:00,61.122,50.394,4.933,8.065,39.052,7.868,2.805,2.421
2018-10-09 09:00:00,77.73,67.073,6.572,11.285,59.476,13.445,4.117,5.281
2018-10-09 10:00:00,98.521,97.289,10.239,18.39,94.881,22.603,7.131,8.464
2018-10-09 11:00:00,121.916,128.164,15.641,26.454,130.833,35.747,12.855,12.182
2018-10-09 12:00:00,150.949,169.027,23.397,36.183,172.632,45.469,17.556,16.921
2018-10-09 13:00:00,173.172,231.846,31.394,45.353,214.547,51.838,20.595,19.511
2018-10-09 14:00:00,186.928,301.149,37.491,49.256,230.464,56.748,23.263,21.547
2018-10-09 15:00:00,220.588,347.134,41.918,50.142,234.803,64.31,27.335,24.455
2018-10-09 16:00:00,226.019,322.643,42.828,49.792,226.65,67.007,29.478,24.802
2018-10-09 17:00:00,178.901,250.316,35.443,39.789,180.802,55.457,24.426,20.317
2018-10-09 18:00:00,135.766,193.604,27.225,31.095,143.403,41.857,18.033,14.688
2018-10-09 19:00:00,122.67,157.231,22.509,27.865,124.714,33.387,15.022,12.008
2018-10-09 20:00:00,106.647,129.513,19.864,24.815,105.483,30.17,13.396,10.879
2018-10-09 21:00:00,87.118,109.269,16.21,20.108,85.626,25.148,11.228,9.734
2018-10-09 22:00:00,61.425,89.156,12.366,15.215,63.231,17.276,8.729,7.374
2018-10-09 23:00:00,44.358,75.298,9.61,11.937,46.075,12.124,5.8,5.044
2018-10-10 00:00:00,35.893,65.515,7.446,9.935,34.264,10.163,4.566,4.249
2018-10-10 01:00:00,36.053,55.283,6.326,8.772,30.128,8.641,3.897,4.068
2018-10-10 02:00:00,39.526,53.786,5.682,7.889,28.542,8.872,3.622,3.915
2018-10-10 03:00:00,40.199,52.289,5.573,7.755,27.995,8.883,3.612,3.64
2018-10-10 04:00:00,51.323,54.694,6.331,9.758,34.833,10.5,4.449,4.504
2018-10-10 05:00:00,64.681,69.163,8.201,10.981,46.036,13.246,5.694,5.623
2018-10-10 06:00:00,73.401,85.301,8.407,11.82,55.593,18.146,7.195,7.104
2018-10-10 07:00:00,85.8,116.683,10.004,14.354,66.06,25.497,9.437,9.672
2018-10-10 08:00:00,104.188,191.675,16.115,21.957,105.521,39.38,14.7,15.639
2018-10-10 09:00:00,152.893,304.526,25.111,37.046,183.536,59.723,22.851,23.67
2018-10-10 10:00:00,218.277,402.077,37.735,53.49,256.902,80.449,32.395,30.595
2018-10-10 11:00:00,272.851,467.354,51.576,67.818,320.249,99.031,41.187,36.687
2018-10-10 12:00:00,325.064,483.133,62.285,78.405,368.614,111.092,45.99,42.157
2018-10-10 13:00:00,351.526,488.552,69.998,83.709,392.489,121.235,50.932,46.235
2018-10-10 14:00:00,369.276,518.832,75.657,87.416,409.404,130.504,55.19,49.1
2018-10-10 15:00:00,385.009,503.735,76.303,87.837,412.449,130.453,55.785,49.007
